date,pe_ratio
01/08/1924,9.865849794
01/09/1924,9.814323607
01/10/1924,9.730363423
01/11/1924,10.31898951
01/12/1924,10.92473118
01/01/1925,11.05884812
01/02/1925,10.8512153
01/03/1925,10.28712871
01/04/1925,9.913211186
01/05/1925,9.981185325
01/06/1925,9.908256881
01/07/1925,9.93733214
01/08/1925,9.842519685
01/09/1925,9.837606838
01/10/1925,9.933166249
01/11/1925,10.02452984
01/12/1925,9.968
01/01/1926,10.12810248
01/02/1926,10.15224359
01/03/1926,9.463141026
01/04/1926,9.206094627
01/05/1926,9.277688604
01/06/1926,9.726907631
01/07/1926,10.14469453
01/08/1926,10.55510861
01/09/1926,10.72463768
01/10/1926,10.48309179
01/11/1926,10.62852538
01/12/1926,10.87903226
01/01/1927,10.90317331
01/02/1927,11.21510673
01/03/1927,11.48178808
01/04/1927,11.87134503
01/05/1927,12.39460371
01/06/1927,12.67234043
01/07/1927,13.07560137
01/08/1927,13.9028621
01/09/1927,14.82064742
01/10/1927,14.73498233
01/11/1927,15.21855486
01/12/1927,15.72972973
01/01/1928,15.47219771
01/02/1928,14.995671
01/03/1928,15.50552251
01/04/1928,16.16666667
01/05/1928,16.36661211
01/06/1928,15.27710843
01/07/1928,15.11041009
01/08/1928,15.33333333
01/09/1928,16.13567073
01/10/1928,16.17977528
01/11/1928,16.99336772
01/12/1928,16.77536232
01/01/1929,17.7698356
01/02/1929,17.62341326
01/03/1929,17.68428373
01/04/1929,17.35072066
01/05/1929,17.38482385
01/06/1929,17.4916388
01/07/1929,18.81109643
01/08/1929,19.6347032
01/09/1929,20.16752577
01/10/1929,17.80534351
01/11/1929,12.93526084
01/12/1929,13.29192547
01/01/1930,13.94348105
01/02/1930,15.3493014
01/03/1930,16.51034483
01/04/1930,18.22476736
01/05/1930,17.82576322
01/06/1930,16.68217054
01/07/1930,17.02506063
01/08/1930,17.5739645
01/09/1930,18.38938053
01/10/1930,16.63881151
01/11/1930,16.24633431
01/12/1930,15.98969072
01/01/1931,17
01/02/1931,18.9010989
01/03/1931,19.92045455
01/04/1931,18.65882353
01/05/1931,17.47560976
01/06/1931,17.55696203
01/07/1931,18.85526316
01/08/1931,19.04109589
01/09/1931,16.9
01/10/1931,15.29850746
01/11/1931,16.234375
01/12/1931,13.83606557
01/01/1932,13.98954997
01/02/1932,14.2708514
01/03/1932,14.75
01/04/1932,11.55899135
01/05/1932,10.4613632
01/06/1932,9.352941176
01/07/1932,10.15609163
01/08/1932,15.79609817
01/09/1932,17.95652174
01/10/1932,16.061358
01/11/1932,16.52214671
01/12/1932,16.63414634
01/01/1933,17.18787879
01/02/1933,15.06024096
01/03/1933,14.92215569
01/04/1933,16.4047619
01/05/1933,20.99408284
01/06/1933,24.44705882
01/07/1933,26.26900585
01/08/1933,24.81395349
01/09/1933,24.46242775
01/10/1933,21.95402299
01/11/1933,22.35428571
01/12/1933,22.65909091
01/01/1934,23.72805043
01/02/1934,25.25094803
01/03/1934,23.73480663
01/04/1934,23.91066346
01/05/1934,21.2890625
01/06/1934,21.37634409
01/07/1934,20.18329071
01/08/1934,19.22670611
01/09/1934,18.59685864
01/10/1934,18.58002906
01/11/1934,18.9378345
01/12/1934,18.89795918
01/01/1935,16.24561404
01/02/1935,13.81538462
01/03/1935,11.52054795
01/04/1935,11.9471313
01/05/1935,12.44681381
01/06/1935,12.49382716
01/07/1935,13.42437539
01/08/1935,14.6394787
01/09/1935,15.27631579
01/10/1935,15.68421053
01/11/1935,17.15789474
01/12/1935,17.15789474
01/01/1936,17.87012987
01/02/1936,18.65384615
01/03/1936,18.81012658
01/04/1936,18.14634146
01/05/1936,16.57647059
01/06/1936,16.69318182
01/07/1936,17.28888889
01/08/1936,17.25
01/09/1936,17.07446809
01/10/1936,17.47240777
01/11/1936,17.47651593
01/12/1936,16.7254902
01/01/1937,16.75238095
01/02/1937,16.76851852
01/03/1937,16.2972973
01/04/1937,15.05309735
01/05/1937,14.13043478
01/06/1937,13.36752137
01/07/1937,13.96344392
01/08/1937,13.91139588
01/09/1937,11.77868852
01/10/1937,10.31932773
01/11/1937,9.655172414
01/12/1937,9.752212389
01/01/1938,10.50461144
01/02/1938,10.78830876
01/03/1938,10.62886598
01/04/1938,10.94834352
01/05/1938,11.9282821
01/06/1938,13.25974026
01/07/1938,17
01/08/1938,18.37313433
01/09/1938,18.9516129
01/10/1938,20.84041445
01/11/1938,20.63685297
01/12/1938,19.828125
01/01/1939,18.84423057
01/02/1939,18.05824366
01/03/1939,17.45070423
01/04/1939,14.90366289
01/05/1939,15.10763009
01/06/1939,15.03947368
01/07/1939,15.07724675
01/08/1939,14.5462246
01/09/1939,15.7654321
01/10/1939,15.35714286
01/11/1939,14.56321839
01/12/1939,13.74444444
01/01/1940,13.22580645
01/02/1940,12.72916667
01/03/1940,12.27272727
01/04/1940,12.18870136
01/05/1940,10.33879589
01/06/1940,9.298076923
01/07/1940,9.484207229
01/08/1940,9.562470117
01/09/1940,9.842592593
01/10/1940,10.02803738
01/11/1940,10.35849057
01/12/1940,10.02857143
01/01/1941,10.01585448
01/02/1941,9.359591926
01/03/1941,9.386792453
01/04/1941,9.009345794
01/05/1941,8.731481481
01/06/1941,8.95412844
01/07/1941,9.13355826
01/08/1941,8.827063899
01/09/1941,8.605042017
01/10/1941,8.330508475
01/11/1941,8.008547009
01/12/1941,7.551724138
01/01/1942,7.973214286
01/02/1942,8.009259259
01/03/1942,7.865384615
01/04/1942,7.68627451
01/05/1942,7.93
01/06/1942,8.5
01/07/1942,8.937927952
01/08/1942,9.010492661
01/09/1942,9.234042553
01/10/1942,9.608247423
01/11/1942,9.47
01/12/1942,9.242718447
01/01/1943,9.670957415
01/02/1943,10.11668733
01/03/1943,10.34579439
01/04/1943,10.59259259
01/05/1943,10.90825688
01/06/1943,11
01/07/1943,11.29576615
01/08/1943,10.80364784
01/09/1943,11.10185185
01/10/1943,11.49681128
01/11/1943,11.48310423
01/12/1943,12.21276596
01/01/1944,12.65124105
01/02/1944,12.61071879
01/03/1944,13.01075269
01/04/1944,12.83093064
01/05/1944,13.10469787
01/06/1944,13.77173913
01/07/1944,14.23358184
01/08/1944,14.12867128
01/09/1944,14
01/10/1944,14.18681319
01/11/1944,13.93478261
01/12/1944,14.08602151
01/01/1945,14.35106383
01/02/1945,14.67368421
01/03/1945,14.51041667
01/04/1945,14.6712379
01/05/1945,15.0202652
01/06/1945,15.09
01/07/1945,14.82942648
01/08/1945,14.92953521
01/09/1945,16
01/10/1945,16.83673469
01/11/1945,17.56701031
01/12/1945,18.05208333
01/01/1946,19.17021277
01/02/1946,19.64130435
01/03/1946,19.47777778
